age,sex,indic_il,unit,country,year,value,Code,pop,% of DE,% of AT,% of W_EUR3,% of S_EUR4,region
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2008,6.852,LTU,3198432,38.051868717720886,36.19268962603,40.199295935608816,47.50103588368078,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2009,7.149,LTU,3163204,39.81842486354016,36.71425636811832,41.83425735579794,48.80864328288064,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2010,6.018,LTU,3097660,34.24571786263017,30.83623693379791,35.51121323096678,41.66342580395793,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2011,6.068,LTU,3028588,32.98722478934493,29.708690330477356,34.57382965135353,42.07237356108159,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2012,6.724,LTU,2988281,35.00624739691795,32.63760799922338,37.39257921293566,47.57889159733587,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2013,7.282,LTU,2958306,37.38576855940035,34.83543819364715,40.09092321808775,52.204387441971726,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2014,7.595,LTU,2933118,39.52435470441299,35.06139783953467,42.00342821171387,54.64911728891452,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2015,8.251,LTU,2905726,40.5155904738522,37.53696374141304,43.97138127833903,58.555500383597455,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2016,9.364,LTU,2869051,44.27004538577912,40.587750856053056,47.875060494037996,62.9667366157609,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2017,9.819,LTU,2829273,46.0315972059444,42.03159111339412,50.006602731597646,65.14524263345697,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2018,10.702,LTU,2802430,48.68971792538672,46.12135838648509,53.74550984580601,69.65554369401575,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2019,11.509,LTU,2795011,50.716079848411404,48.58783298855913,56.44601880094632,73.2889228245508,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2020,12.546,LTU,2795711,51.78092368649139,53.767035227564925,60.036491133406116,77.03354899389802,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2021,13.742,LTU,2794443,58.8875557079191,56.20449897750511,66.72287492280854,86.29299491490177,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2022,14.202,LTU,2816872,61.408743027630045,56.53887495521319,67.62908616379448,84.06299662682095,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2023,14.312,LTU,2854061,59.42041019679482,49.88497734402231,64.62639358517092,78.35378917533254,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2024,15.11,LTU,2888055,59.97935852651636,50.77626184555414,64.77825236998889,77.09165041945225,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2005,4.759,POL,38124333,30.40700274742828,27.67825985809003,32.334752586616645,39.126954507384944,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2006,5.095,POL,38071124,33.59266829300455,29.247990815154996,34.55608785920618,40.38452561989829,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2007,5.609,POL,38020368,32.37518037518038,31.493542953396968,35.43015240964822,42.77527997850616,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2008,6.732,POL,37995854,37.38546120952963,35.55884217198394,39.49528024496768,46.66914383668111,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2009,7.376,POL,38002108,41.0827670714047,37.88003286770748,43.16260767329215,50.35844913337915,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2010,7.578,POL,38095304,43.12297274227508,38.82967821274851,44.71651277239387,52.46351624167384,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Poland,2011,8.322,POL,38208597,45.24055449850503,40.74418604651163,47.41651456139816,57.70044376653279,CEE
