STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PAY_PERIOD,Pay period,PRICE_BASE,Price base,AGGREGATION_OPERATION,Aggregation operation,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2000,,29571.89892,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2001,,29732.51834,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2002,,30131.09389,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2003,,29956.78628,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2004,,29632.28952,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2005,,29406.1176,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2006,,29461.66447,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2007,,29801.73279,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2008,,29681.43548,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2009,,31152.10545,,2024,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,BEL,Belgium,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2010,,30484.70435,,2024,,A,Normal value,0,Units,0,Zero
