megye,telepules,part,part_full,osszes_vp,osszes_szavazo,ervenyes,ervenytelen,reszvetel_pct,szavazat,szavazat_pct
BARANYA,Berkesd,Mi_Hazank,MI HAZÁNK MOZGALOM,636,428,417,12,67.2956,19,4.5564
BARANYA,Berkesd,NEP,NORMÁLIS ÉLET PÁRTJA,636,428,417,12,67.2956,1,0.2398
BARANYA,Berkesd,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,636,428,417,12,67.2956,109,26.1391
BARANYA,Besence,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,87,50,50,0,57.4713,37,74.0
BARANYA,Besence,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,87,50,50,0,57.4713,2,4.0
BARANYA,Besence,Megoldas,MEGOLDÁS MOZGALOM,87,50,50,0,57.4713,0,0.0
BARANYA,Besence,Mi_Hazank,MI HAZÁNK MOZGALOM,87,50,50,0,57.4713,1,2.0
BARANYA,Besence,NEP,NORMÁLIS ÉLET PÁRTJA,87,50,50,0,57.4713,1,2.0
BARANYA,Besence,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,87,50,50,0,57.4713,9,18.0
BARANYA,Bezedek,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,172,115,98,37,66.8605,74,75.5102
BARANYA,Bezedek,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,172,115,98,37,66.8605,0,0.0
BARANYA,Bezedek,Megoldas,MEGOLDÁS MOZGALOM,172,115,98,37,66.8605,0,0.0
BARANYA,Bezedek,Mi_Hazank,MI HAZÁNK MOZGALOM,172,115,98,37,66.8605,0,0.0
BARANYA,Bezedek,NEP,NORMÁLIS ÉLET PÁRTJA,172,115,98,37,66.8605,0,0.0
BARANYA,Bezedek,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,172,115,98,37,66.8605,0,0.0
BARANYA,Bicsérd,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,812,531,527,4,65.3941,314,59.5825
BARANYA,Bicsérd,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,812,531,527,4,65.3941,19,3.6053
BARANYA,Bicsérd,Megoldas,MEGOLDÁS MOZGALOM,812,531,527,4,65.3941,3,0.5693
BARANYA,Bicsérd,Mi_Hazank,MI HAZÁNK MOZGALOM,812,531,527,4,65.3941,30,5.6926
BARANYA,Bicsérd,NEP,NORMÁLIS ÉLET PÁRTJA,812,531,527,4,65.3941,3,0.5693
BARANYA,Bicsérd,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,812,531,527,4,65.3941,158,29.981
BARANYA,Bikal,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,561,383,373,11,68.2709,148,39.6783
BARANYA,Bikal,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,561,383,373,11,68.2709,15,4.0214
BARANYA,Bikal,Megoldas,MEGOLDÁS MOZGALOM,561,383,373,11,68.2709,0,0.0
BARANYA,Bikal,Mi_Hazank,MI HAZÁNK MOZGALOM,561,383,373,11,68.2709,26,6.9705
BARANYA,Bikal,NEP,NORMÁLIS ÉLET PÁRTJA,561,383,373,11,68.2709,0,0.0
BARANYA,Bikal,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,561,383,373,11,68.2709,155,41.555
BARANYA,Birján,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,424,302,298,4,71.2264,137,45.9732
BARANYA,Birján,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,424,302,298,4,71.2264,7,2.349
BARANYA,Birján,Megoldas,MEGOLDÁS MOZGALOM,424,302,298,4,71.2264,5,1.6779
BARANYA,Birján,Mi_Hazank,MI HAZÁNK MOZGALOM,424,302,298,4,71.2264,18,6.0403
BARANYA,Birján,NEP,NORMÁLIS ÉLET PÁRTJA,424,302,298,4,71.2264,2,0.6711
BARANYA,Birján,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,424,302,298,4,71.2264,98,32.8859
BARANYA,Bisse,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,193,117,115,2,60.6218,78,67.8261
BARANYA,Bisse,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,193,117,115,2,60.6218,3,2.6087
BARANYA,Bisse,Megoldas,MEGOLDÁS MOZGALOM,193,117,115,2,60.6218,1,0.8696
BARANYA,Bisse,Mi_Hazank,MI HAZÁNK MOZGALOM,193,117,115,2,60.6218,4,3.4783
