telep,maztaz,OGY26nevj,OGY26megj,OGY26erv,OGY26ervL,OGY26TiszaE,OGY26FideszE,OGY26MiHazankE,OGY26TiszaL,OGY26FideszL,OGY26MiHazankL,EP24Nevj,EP24Megj,EP24Erv,EP24Fidesz,EP24Tisza,EP24Bal,EP24MiHaz,EP24Momo,EP24MKKP,OGY26Reszv,OGY26TiszaEF,OGY26FideszEF,OGY26MiHazankEF,OGY26TiszaLF,OGY26FideszLF,OGY26MiHazankLF,EP24Reszv,EP24FideszF,EP24TiszaF,EP24BalF,EP24MiHazF,EP24MomoF,EP24MKKPF,kat,FideszKul,atfordult,kul,
Palkonya,2209,195,163,160,160,77,69,13,67,57,13,207,171,164,87,30,9,15,16,3,83.6,48.1,43.1,8.1,41.9,35.6,8.1,82.6,53.0,18.3,5.5,9.1,9.8,1.8,8,-9.9,1,5.0,0
Palotabozsok,2210,580,484,481,481,174,268,33,174,250,30,642,475,468,283,103,16,39,10,5,83.4,36.2,55.7,6.9,36.2,52.0,6.2,74.0,60.5,22.0,3.4,8.3,2.1,1.1,8,-4.8,0,-19.5,0
Patapoklosi,2211,244,168,164,161,54,109,0,55,96,0,250,137,127,89,16,8,3,1,6,68.9,32.9,66.5,0.0,34.2,59.6,0.0,54.8,70.1,12.6,6.3,2.4,0.8,4.7,8,-3.6,0,-33.5,0
Páprád,2212,114,97,96,97,34,55,6,33,56,8,127,104,101,66,18,3,12,0,0,85.1,35.4,57.3,6.3,34.0,57.7,8.2,81.9,65.3,17.8,3.0,11.9,0.0,0.0,8,-8.1,0,-21.9,0
Pellérd,2213,1838,1486,1482,1485,907,438,107,904,436,110,1894,1028,1006,352,351,96,70,26,57,80.8,61.2,29.6,7.2,60.9,29.4,7.4,54.3,35.0,34.9,9.5,7.0,2.6,5.7,6,-5.4,1,31.6,0
Pereked,2214,144,122,119,115,47,67,5,41,47,4,140,111,105,52,18,8,15,3,3,84.7,39.5,56.3,4.2,35.7,40.9,3.5,79.3,49.5,17.1,7.6,14.3,2.9,2.9,8,6.8,0,-16.8,0
Peterd,2215,160,132,131,132,55,68,7,53,67,10,171,130,123,68,19,5,18,1,4,82.5,42.0,51.9,5.3,40.2,50.8,7.6,76.0,55.3,15.4,4.1,14.6,0.8,3.3,8,-3.4,0,-9.9,0
Pettend,2216,106,70,69,68,17,50,2,16,48,1,113,96,89,74,5,0,5,1,0,66.0,24.6,72.5,2.9,23.5,70.6,1.5,85.0,83.1,5.6,0.0,5.6,1.1,0.0,8,-10.7,0,-47.8,0
Pécs,2217,101039,79809,79331,79312,48837,24559,3840,48499,23794,4020,109605,61993,61401,23017,20132,7273,3332,2711,2750,79.0,61.6,31.0,4.8,61.1,30.0,5.1,56.6,37.5,32.8,11.8,5.4,4.4,4.5,2,-6.5,1,30.6,0
Pécsbagota,2218,78,56,56,56,26,28,2,26,27,3,78,58,57,26,12,1,10,2,3,71.8,46.4,50.0,3.6,46.4,48.2,5.4,74.4,45.6,21.1,1.8,17.5,3.5,5.3,8,4.4,0,-3.6,0
Pécsdevecser,2219,72,50,50,49,26,22,2,25,10,3,83,43,42,28,6,5,0,1,1,69.4,52.0,44.0,4.0,51.0,20.4,6.1,51.8,66.7,14.3,11.9,0.0,2.4,2.4,8,-22.7,1,8.0,0
Pécsudvard,2220,632,552,551,549,353,156,25,345,146,25,663,481,475,160,152,57,54,21,17,87.3,64.1,28.3,4.5,62.8,26.6,4.6,72.5,33.7,32.0,12.0,11.4,4.4,3.6,8,-5.4,1,35.8,0
Pécsvárad,2221,3097,2461,2443,2444,1200,1051,150,1173,982,150,3217,1977,1946,971,483,127,155,63,79,79.5,49.1,43.0,6.1,48.0,40.2,6.1,61.5,49.9,24.8,6.5,8.0,3.2,4.1,6,-6.9,1,6.1,0
Piskó,2222,166,131,129,127,16,113,0,16,111,0,173,132,127,123,3,1,0,0,0,78.9,12.4,87.6,0.0,12.6,87.4,0.0,76.3,96.9,2.4,0.8,0.0,0.0,0.0,8,-9.3,0,-75.2,0
Pogány,2223,1012,846,844,843,508,269,56,488,258,54,1064,673,665,238,208,55,60,43,31,83.6,60.2,31.9,6.6,57.9,30.6,6.4,63.3,35.8,31.3,8.3,9.0,6.5,4.7,7,-3.9,1,28.3,0
Pócsa,2224,137,99,98,97,36,52,7,31,22,5,146,78,76,48,11,4,6,1,4,72.3,36.7,53.1,7.1,32.0,22.7,5.2,53.4,63.2,14.5,5.3,7.9,1.3,5.3,8,-10.1,0,-16.3,0
Rádfalva,2225,153,107,105,106,42,60,3,43,54,3,168,132,124,81,9,14,6,0,11,69.9,40.0,57.1,2.9,40.6,50.9,2.8,78.6,65.3,7.3,11.3,4.8,0.0,8.9,8,-8.2,0,-17.1,0
Regenye,2226,122,78,77,73,31,36,9,30,28,9,136,91,85,51,16,7,6,2,1,63.9,40.3,46.8,11.7,41.1,38.4,12.3,66.9,60.0,18.8,8.2,7.1,2.4,1.2,8,-13.2,0,-6.5,0
