country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of EU8-2004,var_name
Hungary,2021,146.3678748010054,139.87275519279055,38.8871909527154,62.188893345153005,64.96012535879527,GDP_per_cap
Hungary,2022,153.02915832678917,146.23844220668252,40.6569686775714,64.60463529912501,66.7476773088817,GDP_per_cap
Hungary,2023,151.94372022037044,145.2011707511637,40.3685881912861,64.39753676653503,66.3717225904708,GDP_per_cap
Hungary,2024,153.19922996889653,146.4009668671933,40.7021535135968,64.7816101640311,66.73115442890283,GDP_per_cap
Lithuania,2004,100,NA,21.8672861464791,43.03724573680693,42.825900537134316,GDP_per_cap
Lithuania,2005,109.50010821862908,NA,23.9447019948719,46.685588050664315,46.29842382268724,GDP_per_cap
Lithuania,2006,119.49054437603792,NA,26.129339256693797,48.99835084971401,48.98193728776696,GDP_per_cap
Lithuania,2007,134.31375881294102,NA,29.3707739737176,53.458168376501185,53.60559946174257,GDP_per_cap
Lithuania,2008,139.229809966134,NA,30.4457809464936,54.81053994635685,55.29786290857849,GDP_per_cap
Lithuania,2009,119.89391254941093,NA,26.2175449293891,49.84302098085511,49.861300586050376,GDP_per_cap
Lithuania,2010,122.95760491568505,100,26.8874913057701,49.00625229332364,49.76143427300505,GDP_per_cap
Lithuania,2011,133.71914827138858,108.75223892258066,29.2407487851392,50.421720006416066,52.360681173724856,GDP_per_cap
Lithuania,2012,141.3999441681361,114.9989415173607,30.920330402208002,53.16595661667813,55.49804468366736,GDP_per_cap
Lithuania,2013,148.50787215122355,120.77973725420149,32.4746413533554,55.775688427894714,58.26380100860343,GDP_per_cap
Lithuania,2014,155.36945987770278,126.36018730540765,33.9750843756963,57.35223302173337,60.277830659590194,GDP_per_cap
Lithuania,2015,161.2056405035583,131.1066856044413,35.2512986931775,59.04805614588373,61.948306575796124,GDP_per_cap
Lithuania,2016,167.4562933712731,136.19026939090253,36.6181468417838,60.44764322832223,63.56049021350635,GDP_per_cap
Lithuania,2017,177.31733577477044,144.21014128923633,38.7744892011822,62.54807656656579,65.98484735741458,GDP_per_cap
Lithuania,2018,187.58518953158935,152.56086816282811,41.0197901632878,65.636391189038,69.02511077404198,GDP_per_cap
Lithuania,2019,196.92577558127883,160.15745891953205,43.0623228425315,68.38468023783818,71.56130317260086,GDP_per_cap
Lithuania,2020,197.0605638198543,160.26708063725167,43.0917973723526,71.41182613024208,75.52826025096067,GDP_per_cap
Lithuania,2021,209.78152943471133,170.61289505318803,45.8735273239486,73.36153186235212,76.63063370242583,GDP_per_cap
Lithuania,2022,213.33792528496326,173.50527072420948,46.6512145810247,74.12959702357118,76.58859767967425,GDP_per_cap
Lithuania,2023,211.0902462432019,171.67725931873144,46.1597081733083,73.63575585397369,75.89315066503197,GDP_per_cap
Lithuania,2024,215.70581782789486,175.43105038180394,47.1690084190287,75.07426638260425,77.33355887464117,GDP_per_cap
Latvia,2004,100,NA,20.574118201251,40.49214771847307,40.29330086156525,GDP_per_cap
Latvia,2005,112.82794095241769,NA,23.2133539355881,45.25966033501814,44.884321345326164,GDP_per_cap
