country,year,rel_val-2004,rel_val-2010,value-2004,% of S_EUR4-2004,% of EU8-2004,var_name
Poland,2007,107.12079027951306,NA,9.866231652,55.4886628672257,34.63141508784704,min_wage
Poland,2008,123.71279232177064,NA,11.39441806,63.156867896064114,39.9379949230676,min_wage
Poland,2009,135.06686935576704,NA,12.440171679999999,65.91858550267183,42.65802824945625,min_wage
Poland,2010,135.8996324067014,100,12.516872320000001,66.48838883391295,43.19946932797797,min_wage
Poland,2011,137.20307061807978,100.95911827596242,12.63692393,68.43306941041459,43.82444512071972,min_wage
Poland,2012,143.38319729105558,105.50668515567315,13.20613707,75.35766277059764,45.49564611196564,min_wage
Poland,2013,151.43977187778563,111.43501214527049,13.94817819,80.36663087509555,47.93093355701836,min_wage
Poland,2014,158.9263293640233,116.94389936862439,14.63771857,84.04176237542005,50.09341488634656,min_wage
Poland,2015,167.0080643680764,122.89074032833147,15.38207706,87.03864677806652,51.82595781212639,min_wage
Poland,2016,177.73287940499583,130.78245780172662,16.36987326,91.20963974096581,55.13164611270151,min_wage
Poland,2017,188.235950057895,138.51100751661258,17.33724596,92.33709639297614,57.56252397207947,min_wage
Poland,2018,194.1282688389578,142.84679465357047,17.8799509,93.36580234527135,60.01584866058508,min_wage
Poland,2019,203.46259268562252,149.7153370339724,18.73967758,83.27627133044443,62.15500357556824,min_wage
Poland,2020,227.4374218774142,167.35690733641675,20.947850409999997,88.28528763543123,69.61111470875116,min_wage
Poland,2021,233.14708315328224,171.55828829290158,21.473731899999997,92.3619113560782,71.42407550771804,min_wage
Poland,2022,219.02847268039935,161.169290013178,20.17335425,89.10043087445129,67.7351821868684,min_wage
Poland,2023,231.2931373517131,170.19408607341293,21.30297645,90.08171720328653,67.0077229530221,min_wage
Poland,2024,268.5001951126376,197.57242190994882,24.72988779,101.73005276038062,77.27627010731464,min_wage
Romania,2004,100,NA,4.0117276219999995,24.908075298842864,14.740019097258555,min_wage
Romania,2005,101.51937044942281,NA,4.0726806259999995,24.284868335313867,14.671268521165873,min_wage
Romania,2006,101.36838519890921,NA,4.066623509,23.45389783961182,14.411849009518933,min_wage
Romania,2007,114.20353894105925,NA,4.581534917,25.767005619851005,16.081624985759237,min_wage
Romania,2008,138.38020461699233,NA,5.551436892,30.770449581115397,19.458058958425312,min_wage
Romania,2009,154.19761616109042,NA,6.1859883600000005,32.77861536933328,21.212092003193924,min_wage
Romania,2010,145.3566950563026,100.00000000000001,5.831314686,30.975367355642643,20.125610734011588,min_wage
Romania,2011,153.38100880169875,105.52042941144748,6.153228297,33.321740439307064,21.339197522346417,min_wage
Romania,2012,155.00625129429588,106.6385357993009,6.218428599,35.48397558215576,21.422723799778815,min_wage
Romania,2013,166.31177157719807,114.41631327183018,6.671975279000001,38.44259566740992,22.927295553270962,min_wage
Romania,2014,186.09134097389628,128.02392136242193,7.465477728,42.86268397873473,25.548467226302456,min_wage
Romania,2015,216.5207589210552,148.9582291597837,8.686223093,49.15052113430977,29.2659976808448,min_wage
Romania,2016,250.64018341771657,172.4311242221305,10.055001469999999,56.02444485105204,33.863963019267345,min_wage
Romania,2017,304.63452386399325,209.57722225728637,12.22110734,65.08885950433204,40.576097602073034,min_wage
Romania,2018,387.98794874912875,266.9212784446187,15.56501971,81.27765908709027,52.245549920071866,min_wage
Romania,2019,408.76031962072227,281.2118970250339,16.39835065,72.87177126028067,54.3893852459852,min_wage
Romania,2020,428.2593682527931,294.6265172628689,17.18059937,72.40810524432032,57.09228632543819,min_wage
Romania,2021,424.29662613819403,291.90029807285214,17.02162495,73.21269642787657,56.615861246402986,min_wage
Romania,2022,419.93341964730223,288.898574286272,16.84658499,74.4069609233211,56.565035709131635,min_wage
Romania,2023,450.16036634602807,309.6935893951514,18.05920776,76.36512438390822,56.8045687499761,min_wage
Romania,2024,496.2143952852839,341.3770484345972,19.906769960000002,81.8894438792583,62.20492973749709,min_wage
Slovakia,2004,100,NA,8.022584561,49.810744687871086,29.476839102939383,min_wage
Slovakia,2005,103.89517509755046,NA,8.335078277000001,49.70099477706499,30.025966378539103,min_wage
Slovakia,2006,106.59352977806525,NA,8.551556063,49.32035675971277,30.306158045768623,min_wage
Slovakia,2007,113.2641951469485,NA,9.086715833,51.10458878445346,31.895240138026185,min_wage
Slovakia,2008,113.54161185512744,NA,9.108971823,50.48911906381125,31.927393615513854,min_wage
Slovakia,2009,122.80349639308714,NA,9.852014342,52.2043317795013,33.783095356372456,min_wage
Slovakia,2010,126.66138614976948,100,10.161516809999998,53.97697312339626,35.07043313511466,min_wage
Slovakia,2011,125.56824454018991,99.13695748735373,10.073818600000001,54.55301711875744,34.93567840063635,min_wage
Slovakia,2012,125.09747044347795,98.76527823211858,10.03605035,57.2683210703672,34.57457640074826,min_wage
Slovakia,2013,127.32864293706757,100.52680363572611,10.21504805,58.857076875766126,35.10256197596655,min_wage
Slovakia,2014,132.8216104047121,104.86353769068853,10.65572601,61.1793421896622,36.46618162396903,min_wage
Slovakia,2015,143.85483745604114,113.57434323823159,11.540875980000001,65.30341929860883,38.884017374339095,min_wage
