megye,telepules,AL,B,C,EL,FL,IL,JL,OL,KL,L,M,NL,MKKP,TISZA,Mi_Hazank,DK,FIDESZ_KDNP,reszvetel_pct
Baranya,Nagykozár,1539,0,0,1539,1316,0,1316,0,1321,0,33,1288,5,778,55,4,392,85.5101
Baranya,Nagynyárád,509,0,0,509,419,0,419,0,419,0,2,417,4,160,15,4,202,82.3183
Baranya,Nagypall,285,0,0,285,232,0,232,0,232,0,6,226,3,92,10,2,107,81.4035
Baranya,Nagypeterd,501,0,0,501,406,0,406,0,406,0,6,400,3,212,31,8,143,81.0379
Baranya,Nagytótfalu,260,0,0,260,206,0,206,0,206,0,0,206,2,90,5,1,108,79.2308
Baranya,Nagyváty,219,0,0,219,177,0,177,0,177,0,2,175,2,48,8,0,108,80.8219
Baranya,Nemeske,181,0,0,181,137,0,137,0,137,0,1,136,1,65,7,1,59,75.6906
Baranya,Nyugotszenterzsébet,174,0,0,174,119,0,119,0,119,0,4,115,1,74,6,0,33,68.3908
Baranya,Okorvölgy,57,0,0,57,41,0,41,0,41,0,1,40,2,19,1,0,17,71.9298
Baranya,Okorág,115,0,0,115,70,0,70,0,70,0,1,69,0,24,2,1,41,60.8696
Baranya,Olasz,473,0,0,473,390,0,390,0,391,0,4,387,4,183,17,5,153,82.4524
Baranya,Old,217,0,0,217,132,0,132,0,132,0,15,117,2,21,0,0,50,60.8295
Baranya,Orfű,914,0,0,914,752,0,752,0,752,0,2,750,6,456,45,13,227,82.2757
Baranya,Oroszló,233,0,0,233,177,0,177,0,177,0,4,173,0,98,7,0,57,75.9657
Baranya,Palkonya,195,0,0,195,163,0,163,0,163,0,3,160,1,67,13,0,57,83.5897
Baranya,Palotabozsok,580,0,0,580,484,0,484,0,484,0,3,481,2,174,30,4,250,83.4483
Baranya,Palé,64,0,0,64,47,0,47,0,47,0,1,46,0,16,3,2,23,73.4375
Baranya,Patapoklosi,244,0,0,244,168,0,168,0,167,0,6,161,0,55,0,2,96,68.8525
