megye,telepules,AL,B,C,EL,FL,IL,JL,OL,KL,L,M,NL,reszvetel_pct,part,szavazat,szavazat_pct
Baranya,Ibafa,140,0,0,140,99,0,99,0,99,0,1,98,70.7143,DK,1,1.0204
Baranya,Ibafa,140,0,0,140,99,0,99,0,99,0,1,98,70.7143,FIDESZ_KDNP,48,48.9796
Baranya,Ibafa,140,0,0,140,99,0,99,0,99,0,1,98,70.7143,MKKP,0,0.0
Baranya,Ibafa,140,0,0,140,99,0,99,0,99,0,1,98,70.7143,Mi_Hazank,5,5.102
Baranya,Ibafa,140,0,0,140,99,0,99,0,99,0,1,98,70.7143,TISZA,44,44.898
Baranya,Illocska,187,0,0,187,142,0,142,0,143,0,14,129,75.9358,DK,1,0.7752
Baranya,Illocska,187,0,0,187,142,0,142,0,143,0,14,129,75.9358,FIDESZ_KDNP,68,52.7132
Baranya,Illocska,187,0,0,187,142,0,142,0,143,0,14,129,75.9358,MKKP,0,0.0
Baranya,Illocska,187,0,0,187,142,0,142,0,143,0,14,129,75.9358,Mi_Hazank,4,3.1008
Baranya,Illocska,187,0,0,187,142,0,142,0,143,0,14,129,75.9358,TISZA,53,41.0853
Baranya,Ipacsfa,160,0,0,160,136,0,136,0,136,0,0,136,85.0,DK,1,0.7353
Baranya,Ipacsfa,160,0,0,160,136,0,136,0,136,0,0,136,85.0,FIDESZ_KDNP,74,54.4118
Baranya,Ipacsfa,160,0,0,160,136,0,136,0,136,0,0,136,85.0,MKKP,0,0.0
Baranya,Ipacsfa,160,0,0,160,136,0,136,0,136,0,0,136,85.0,Mi_Hazank,9,6.6176
Baranya,Ipacsfa,160,0,0,160,136,0,136,0,136,0,0,136,85.0,TISZA,52,38.2353
Baranya,Ivánbattyán,79,0,0,79,62,0,62,0,61,0,2,59,78.481,DK,1,1.6949
Baranya,Ivánbattyán,79,0,0,79,62,0,62,0,61,0,2,59,78.481,FIDESZ_KDNP,27,45.7627
Baranya,Ivánbattyán,79,0,0,79,62,0,62,0,61,0,2,59,78.481,MKKP,1,1.6949
Baranya,Ivánbattyán,79,0,0,79,62,0,62,0,61,0,2,59,78.481,Mi_Hazank,0,0.0
Baranya,Ivánbattyán,79,0,0,79,62,0,62,0,61,0,2,59,78.481,TISZA,21,35.5932
Baranya,Ivándárda,157,0,0,157,127,0,127,0,127,0,1,126,80.8917,DK,2,1.5873
Baranya,Ivándárda,157,0,0,157,127,0,127,0,127,0,1,126,80.8917,FIDESZ_KDNP,42,33.3333
Baranya,Ivándárda,157,0,0,157,127,0,127,0,127,0,1,126,80.8917,MKKP,0,0.0
Baranya,Ivándárda,157,0,0,157,127,0,127,0,127,0,1,126,80.8917,Mi_Hazank,1,0.7937
Baranya,Ivándárda,157,0,0,157,127,0,127,0,127,0,1,126,80.8917,TISZA,74,58.7302
Baranya,Kacsóta,205,0,0,205,162,0,162,0,162,0,5,157,79.0244,DK,1,0.6369
Baranya,Kacsóta,205,0,0,205,162,0,162,0,162,0,5,157,79.0244,FIDESZ_KDNP,44,28.0255
Baranya,Kacsóta,205,0,0,205,162,0,162,0,162,0,5,157,79.0244,MKKP,2,1.2739
Baranya,Kacsóta,205,0,0,205,162,0,162,0,162,0,5,157,79.0244,Mi_Hazank,8,5.0955
Baranya,Kacsóta,205,0,0,205,162,0,162,0,162,0,5,157,79.0244,TISZA,77,49.0446
Baranya,Katádfa,98,0,0,98,82,0,82,0,82,0,1,81,83.6735,DK,0,0.0
