country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of S_EUR4-2004,% of EU8-2004,var_name
Estonia,2008,131.00984827035506,NA,30.719822,42.8655238491789,58.805254548760665,43.527955317759506,per_hr_work
Estonia,2009,138.9437005370454,NA,32.58019,47.295079801634735,61.338329033325984,47.383281591688856,per_hr_work
Estonia,2010,149.22722292951744,100,34.99152,49.28470561590248,64.99647161949972,49.509778972265345,per_hr_work
Estonia,2011,158.67139891309813,106.32872193034197,37.206036,50.254178706690524,67.73962698573042,50.87765616843835,per_hr_work
Estonia,2012,169.05639482093576,113.28790518388455,39.64116,53.74334345668859,70.93783875223717,53.937521187500565,per_hr_work
Estonia,2013,169.084861481231,113.30698123431048,39.647835,53.65619979817942,71.21674108398045,53.89316902682207,per_hr_work
Estonia,2014,172.77289537237868,115.77840288161245,40.512623,53.537802959281926,73.06374930845796,54.550334620320655,per_hr_work
Estonia,2015,164.41441009211553,110.17722293858625,38.552685,52.02810876866424,68.65444388597216,52.23452629739824,per_hr_work
Estonia,2016,169.5263527282341,113.60283291494626,39.751358,52.284405876750604,69.22288892355002,53.22195685916178,per_hr_work
Estonia,2017,175.58366995425672,117.66195638257497,41.171707,52.6524466195129,70.45307087847655,53.7415583133519,per_hr_work
Estonia,2018,189.51404233698187,126.99696383580934,44.438168,56.5373467852982,77.52932371420424,58.01608801478421,per_hr_work
Estonia,2019,202.82466460623488,135.9166649519655,47.559307,58.62929467228108,78.98841587773882,59.10005780193003,per_hr_work
Estonia,2020,214.9834682269211,144.0645104871123,50.410362,61.445718016276835,82.88849692274876,61.32186986689266,per_hr_work
Estonia,2021,225.97402143243124,151.4294892019552,52.98748,63.910276752257914,87.18687862765788,64.71908391483954,per_hr_work
Estonia,2022,214.95231482565418,144.0436340004664,50.403057,60.91209238353777,81.79108227215087,61.909567670393756,per_hr_work
Estonia,2023,196.83159034211295,131.90059191484107,46.154022,55.943472320242705,74.83904191478742,56.88135504419918,per_hr_work
Hungary,2004,100,NA,29.355461,45.94329933097402,63.233913939772826,46.44636034291815,per_hr_work
Hungary,2005,109.44739719808864,NA,32.128788,47.611313426074425,67.29655660299358,48.18167418375482,per_hr_work
Hungary,2006,109.31681161471116,NA,32.090454,47.24969720278093,65.52350698288913,47.805143428917326,per_hr_work
Hungary,2007,112.95765377351763,NA,33.15924,46.933632115116275,64.7700488149949,47.74378848875598,per_hr_work
Hungary,2008,122.52383977209557,NA,35.967438,50.18789078214267,68.8504753398886,50.96348000187909,per_hr_work
Hungary,2009,124.06068840138468,NA,36.418587,52.8670943425369,68.56483256650155,52.96568752338212,per_hr_work
Hungary,2010,129.9702770806427,100,38.153374,53.738100140932076,70.8695904144535,53.98351125604648,per_hr_work
Hungary,2011,134.63850559185565,103.59176622230055,39.523754,53.38471952979012,71.95940876463622,54.047035983568364,per_hr_work
Hungary,2012,132.7513030710027,102.13973998734686,38.969757,52.83309153603715,69.73636337281417,53.02398047532535,per_hr_work
Hungary,2013,130.0803554064438,100.08469499971352,38.185688,51.67744732490292,68.59038470599113,51.9056775178138,per_hr_work
Hungary,2014,126.09813894593582,97.02075103501986,37.01669,48.91789542792185,66.75890026644048,49.84305326358842,per_hr_work
Hungary,2015,124.35565907140754,95.6800753715779,36.505177,49.264929785703394,65.00825106977587,49.46038461387781,per_hr_work
Hungary,2016,119.71528909050348,92.10974368872331,35.142975,46.223064092967576,61.19786536269012,47.05192459972313,per_hr_work
Hungary,2017,125.27055868753007,96.384005252065,36.77375,47.028118335591785,62.92728196130846,48.00089124372775,per_hr_work
Hungary,2018,128.04525876803638,98.51887804208351,37.588276,47.82243487790725,65.57861741426547,49.073236519111255,per_hr_work
Hungary,2019,137.78371254329815,106.0117094755499,40.447044,49.861568868081235,67.1760825383179,50.26193166181347,per_hr_work
Hungary,2020,137.41126395528246,105.72514504221829,40.33771,49.168057037208946,66.32628726621189,49.06895537366812,per_hr_work
Hungary,2021,141.66415577667135,108.99734843896114,41.586166,50.158705002112555,68.42688136200539,50.793481159142644,per_hr_work
Hungary,2022,143.25533841897425,110.22161500055016,42.053265,50.82136908301803,68.2415365684578,51.653602186837624,per_hr_work
Hungary,2023,144.21149781977536,110.95729043517882,42.33395,51.31314796425627,68.64477073024135,52.17340409408689,per_hr_work
Latvia,2004,100,NA,21.492228,33.63680319288943,46.29590711336388,34.005112924649865,per_hr_work
Latvia,2005,105.79071653250655,NA,22.736782,33.69339839717351,47.62417856636627,34.09702919111239,per_hr_work
Latvia,2006,108.31983543074269,NA,23.280346,34.27777304976652,47.53469407740617,34.68072715969745,per_hr_work
Latvia,2007,114.96479564612845,NA,24.708496,34.97243789006691,48.2631837178749,35.5761231831391,per_hr_work
Latvia,2008,121.89720395670473,NA,26.198425,36.55650125994951,50.150194584513386,37.12143490921509,per_hr_work
Latvia,2009,130.55685990303098,NA,28.059578,40.73272687207147,52.82742758407102,40.80869036423536,per_hr_work
Latvia,2010,143.6421575278282,100,30.8719,43.482320953864814,57.344310055408656,43.68089598433788,per_hr_work
Latvia,2011,149.58614341891402,104.1380511079655,32.149395,43.424175626825246,58.53319136488786,43.962916792138536,per_hr_work
Latvia,2012,157.7780349249971,109.84103667088843,33.910015,45.973366641300665,60.68195724231945,46.13947100768399,per_hr_work
Latvia,2013,152.604327480613,106.23923373682864,32.79807,44.386277256114354,58.912968620966744,44.5823064554103,per_hr_work
Latvia,2014,160.09380693337144,111.45321797492217,34.407726,45.470125567158696,62.05368303943467,46.330077586541535,per_hr_work
Latvia,2015,166.53499116052555,115.93740586099332,35.79208,48.3025820716957,63.73837121648535,48.49421885916848,per_hr_work
Latvia,2016,170.73393693757578,118.86060462750916,36.694527,48.263798764394004,63.89973310152592,49.12925321850255,per_hr_work
Latvia,2017,181.22961937682774,126.16743057602544,38.950283,49.81157804490401,66.65176765529105,50.84192659697251,per_hr_work
Latvia,2018,180.25052125819622,125.48580748188482,38.739853,49.28755171618405,67.58772332553598,50.57667366773091,per_hr_work
Latvia,2019,186.36614593889476,129.74334912979117,40.054237,49.3773314221417,66.52369282465604,49.77380603784249,per_hr_work
Latvia,2020,195.22126789274708,135.90805878484966,41.9574,51.14231413565596,68.98950300707102,51.039233218622044,per_hr_work
Latvia,2021,202.17815481950032,140.75126571412838,43.45259,52.40987215286319,71.49794046418853,53.07313762660761,per_hr_work
Latvia,2022,200.19031996124366,139.367385875181,43.02536,51.99614585192661,69.81899450164123,52.847616692436986,per_hr_work
Latvia,2023,204.69515771003358,142.50353881685285,43.99355,53.32475567772216,71.33582274650509,54.21873606605138,per_hr_work
Lithuania,2004,100,NA,24.645527,38.57193127134342,53.08835495100376,38.99427870961109,per_hr_work
Lithuania,2005,107.2420646553835,NA,26.430372,39.1668906172166,55.360725880359276,39.63609122944309,per_hr_work
Lithuania,2006,113.9014799724104,NA,28.07162,41.33240199691563,57.31769918527828,41.81828715736038,per_hr_work
Lithuania,2007,119.17545118836371,NA,29.371418,41.57234385080311,57.37128407121573,42.28995503536391,per_hr_work
Lithuania,2008,123.92822032168351,NA,30.542763,42.618460998775284,58.46632030737251,43.27707442917209,per_hr_work
Lithuania,2009,122.09792470658063,NA,30.091677,43.68262631617607,56.653235754320875,43.764091150393746,per_hr_work
Lithuania,2010,133.01313459436267,100,32.781788,46.17235179103178,60.89191190832681,46.383211652299195,per_hr_work
Lithuania,2011,152.55459946139516,114.69137986006132,37.597885,50.783449002296265,68.45305168635511,51.4134928453675,per_hr_work
Lithuania,2012,159.43075593392666,119.86091179651335,39.29255,53.27071684933309,70.3140013073335,53.4631869535585,per_hr_work
Lithuania,2013,157.36251044662183,118.30599355959474,38.78282,52.48555787867935,69.66297278140456,52.7173570409788,per_hr_work
Lithuania,2014,160.61120137540578,120.74837711719691,39.583477,52.30992799625115,71.38805207169902,53.299237518779435,per_hr_work
Lithuania,2015,156.68740213995017,117.79844345280983,38.616436,52.11414282730662,68.7679713731543,52.32090168956575,per_hr_work
Lithuania,2016,154.29473267096296,115.99962149715569,38.02675,50.01605306600408,66.21966201440478,50.91292850911232,per_hr_work
Lithuania,2017,166.25917554938061,124.99455490347263,40.97545,52.40146331157754,70.11723568147107,53.485383435543135,per_hr_work
Lithuania,2018,169.72286289516143,127.59857393989613,41.829094,53.21790027871617,72.97738667799892,54.6098209782789,per_hr_work
Lithuania,2019,183.07350457549558,137.6356591653878,45.11943,55.62150762447735,74.93616971766484,56.06811976865298,per_hr_work
Lithuania,2020,191.06884588022808,143.64660036237194,47.089924,57.39840137454096,77.42878379977658,57.28271087539236,per_hr_work
Lithuania,2021,205.13880672951322,154.22447366202235,50.55754,60.979430863920115,83.18859669667171,61.7511471349054,per_hr_work
Lithuania,2022,197.6752130315574,148.61330321579774,48.718098,58.87581949892933,79.05683105016247,59.839949487664505,per_hr_work
Lithuania,2023,194.76082617344719,146.42225128171776,47.999832,58.18078591001885,77.83203463721438,59.15617681280113,per_hr_work
Poland,2004,99.99999999999999,NA,27.474195,42.99898968585606,59.18152272228111,43.46981166814584,per_hr_work
Poland,2005,101.88952214978455,NA,27.993326,41.48301573107203,58.63446973676854,41.979962414132544,per_hr_work
Poland,2006,102.11484267327941,NA,28.055231,41.30827098002642,57.2842355030274,41.793872467070976,per_hr_work
Poland,2007,107.19042723544766,NA,29.449707,41.68315420486009,57.524206223583434,42.40267816945855,per_hr_work
Poland,2008,108.62474041550625,NA,29.843773,41.643111189934025,57.128282447744354,42.2866518450972,per_hr_work
Poland,2009,116.03586929480554,NA,31.879921,46.278533297835615,60.019941070154545,46.36483930461409,per_hr_work
Poland,2010,126.75473840088853,100,34.824844,49.049946520177684,64.68687226789532,49.273947778879595,per_hr_work
Poland,2011,138.50594712602134,109.27082401288,38.053394,51.39870483574506,69.28237974884055,52.03638183799303,per_hr_work
Poland,2012,141.54081675550455,111.66510896646083,38.8872,52.721165214866076,69.58862765685961,52.91164975804371,per_hr_work
Poland,2013,139.44691009145126,110.01317335405723,38.311916,51.848274175552504,68.81711957798473,52.07725881449539,per_hr_work
Poland,2014,138.81078590291727,109.51131898824875,38.137146,50.398588311039916,68.77962146968515,51.35174969450938,per_hr_work
Poland,2015,143.2078355707965,112.98026202213569,39.3452,53.09763366999856,70.06575094788734,53.3082944566998,per_hr_work
Poland,2016,144.81544227228494,114.24854336748787,39.786877,52.331123521273234,69.28474159765678,53.26951223288461,per_hr_work
Poland,2017,150.52020268473743,118.74917228631377,41.354214,52.885845736901636,70.76537706016629,53.97978527302339,per_hr_work
Poland,2018,157.59085935001914,124.32739110044541,43.29682,55.085243996571485,75.5380638908344,56.526005299774496,per_hr_work
Poland,2019,166.72112140137318,131.5304843863766,45.805286,56.46700466939334,76.07526703378517,56.92040572067075,per_hr_work
Poland,2020,162.01186604375485,127.81523443435957,44.511456,54.25547973390697,73.1890733830292,54.14612401350974,per_hr_work
Poland,2021,163.31375678159085,128.84232876965652,44.86914,54.11842863702531,73.82876602751045,54.8033164975327,per_hr_work
Poland,2022,172.26908377115325,135.90741138711203,47.329544,57.197752045053846,76.80356822816093,58.13440258349565,per_hr_work
Poland,2023,169.93630932589653,134.0670269764884,46.688633,56.59147642442668,75.70591707113039,57.540222826112846,per_hr_work
Romania,2004,100,NA,15.029786,23.522640543048624,32.37531151213066,23.78020418187084,per_hr_work
Romania,2005,106.45344517879364,NA,15.999725,23.709824401281452,33.512823424737704,23.993856754872816,per_hr_work
Romania,2006,119.96061021760391,NA,18.029823,26.54694998611535,36.81397693035927,26.85902401109665,per_hr_work
Romania,2007,136.24820739297286,NA,20.477814,28.984324996525185,39.99937912944886,29.48464501382077,per_hr_work
Romania,2008,157.09147156187055,NA,23.610512,32.94540460642398,45.19629600023621,33.45453340730374,per_hr_work
Romania,2009,158.95369368532593,NA,23.8904,34.68053361545695,44.97816666930951,34.74521021940275,per_hr_work
Romania,2010,168.91428128118392,100,25.387455,35.757613444971,47.15699684948885,35.9209112870299,per_hr_work
Romania,2011,184.75892471123674,109.38028644462393,27.768871,37.507403522295036,50.55773647466414,37.97273837298117,per_hr_work
Romania,2012,196.19782344206365,116.15230041766691,29.488113,39.978390764766814,52.7689655171985,40.122834945216304,per_hr_work
Romania,2013,187.61611775443777,111.0717911661488,28.198301,38.16131883179,50.65071273942568,38.3298558940786,per_hr_work
Romania,2014,193.72422867497917,114.68789211049317,29.116337,38.4775064601976,52.51076306139395,39.205210836830375,per_hr_work
Romania,2015,207.18810633764178,122.65872652457679,31.139929,42.02435220946302,55.45384214208834,42.19108060176909,per_hr_work
Romania,2016,214.95076510071402,127.25434668421866,32.30664,42.49247228922509,56.25868057672691,43.254436750172665,per_hr_work
Romania,2017,233.43790124490133,138.19903176588596,35.085217,44.86873753440747,60.037862410896174,45.79684382146472,per_hr_work
Romania,2018,240.51541385885335,142.38903426909079,36.148952,45.991226171814716,63.067491925797455,47.19413232503666,per_hr_work
Romania,2019,263.28931097222545,155.8715515202292,39.57182,48.78262619550924,65.72247520761861,49.17432563362563,per_hr_work
Romania,2020,267.146318650179,158.15496275621166,40.15152,48.941108096880946,66.02013970785778,48.84246386482879,per_hr_work
Romania,2021,293.3703380740085,173.68000849238334,44.092934,53.18221615292976,72.55157793870042,53.85525591323614,per_hr_work
Romania,2022,304.655149447903,180.36080024563316,45.789017,55.33602522671158,74.3036926630842,56.2421887728419,per_hr_work
Romania,2023,313.2287978019115,185.4365394246883,47.077618,57.06296667895942,76.33665873692115,58.019617533942814,per_hr_work
Slovakia,2004,100,NA,30.051167,47.032126687640456,64.73251800977478,47.54710992980865,per_hr_work
Slovakia,2005,109.5907190559355,NA,32.93329,48.80349648862579,68.98165640757449,49.38813902905739,per_hr_work
Slovakia,2006,113.29706430369242,NA,34.04709,50.1306305337977,69.51864063257113,50.71994371869144,per_hr_work
Slovakia,2007,122.60678595277182,NA,36.84477,52.150136147453104,71.96900627026614,53.05033848172823,per_hr_work
Slovakia,2008,129.63632993021537,NA,38.95723,54.3597574121018,74.57366864510529,55.199817458046475,per_hr_work
Slovakia,2009,127.79282747987791,NA,38.403236,55.74811292570767,72.30130719656545,55.852078990947646,per_hr_work
Slovakia,2010,136.85033263433664,100.00000000000001,41.125122,57.923734984592684,76.3895888181326,58.18826105374808,per_hr_work
Slovakia,2011,140.58880641806687,102.7317973670692,42.248577,57.065136921906294,76.92039126817782,57.77311440035677,per_hr_work
Slovakia,2012,141.07232507809098,103.08511668366602,42.39388,57.47533254076423,75.86383000703543,57.682994158605766,per_hr_work
Slovakia,2013,136.65238358297364,99.8553536205923,41.065636,55.5749379519792,73.76344172288314,55.82038116688967,per_hr_work
Slovakia,2014,141.7307021720654,103.5662094813968,42.59173,56.28536193361108,76.81337945789213,57.349856699191015,per_hr_work
Slovakia,2015,139.56181135993822,101.98134609789123,41.939953,56.59933767094734,74.6864751396384,56.823891199540235,per_hr_work
Slovakia,2016,130.95835845576315,95.69458541667062,39.354515,51.76244382248953,68.5318277802027,52.69063511096237,per_hr_work
Slovakia,2017,129.4578510045883,94.59812666330815,38.903595,49.75187108575919,66.57187509768654,50.78098460410023,per_hr_work
Slovakia,2018,125.01308185469136,91.3502214048143,37.56789,47.79649838224511,65.54305085370792,49.04662165122855,per_hr_work
Slovakia,2019,123.03489911057363,89.90471323100269,36.973423,45.5794217546083,61.40695263594891,45.94540110593304,per_hr_work
Slovakia,2020,149.00121516079557,108.87895724661924,44.776604,54.57867140709074,73.62504960518116,54.46866427123427,per_hr_work
Slovakia,2021,153.12535782720184,111.89257262264171,46.015957,55.501649576277266,75.71576640169573,56.204042587129045,per_hr_work
Slovakia,2022,146.14613801853352,106.7926801530218,43.91862,53.075650526464884,71.26852368695278,53.94479896091042,per_hr_work
Slovakia,2023,146.38044838658013,106.96389666637342,43.989033,53.31928060418533,71.32849840211037,54.21316920384521,per_hr_work
Slovenia,2004,100,NA,36.23952,56.71732135192221,78.06270488815271,57.3383536567315,per_hr_work
Slovenia,2005,109.30288259888653,NA,39.61084,58.69888768633557,82.96836893293711,59.40207227937895,per_hr_work
Slovenia,2006,109.2580144549376,NA,39.59458,58.298705149864375,80.84571627171627,58.98403855264065,per_hr_work
Slovenia,2007,111.11610749811256,NA,40.267944,56.99530115069296,78.65550291742153,57.979139486100124,per_hr_work
Slovenia,2008,117.80701289641804,NA,42.692696,59.57211531283431,81.72426440663803,60.49272563762543,per_hr_work
Slovenia,2009,110.71564965540382,NA,40.12282,58.24434951934368,75.5387471621532,58.35297087931793,per_hr_work
Slovenia,2010,114.28804796531522,100,41.41744,58.33545778418039,76.93256719091745,58.601864108705804,per_hr_work
Slovenia,2011,123.92975955531419,108.43632537404532,44.91155,60.66201354249258,81.76876580861722,61.41461559870628,per_hr_work
Slovenia,2012,124.89239095882064,109.2786106529037,45.260403,61.361609585015636,80.99347168133504,61.583312540988054,per_hr_work
Slovenia,2013,122.11705618617465,106.85024231338296,44.254635,59.89067341395826,79.49162627823334,60.15517680285231,per_hr_work
Slovenia,2014,122.28741440283979,106.9993027091969,44.316372,58.564492158561016,79.92373868431984,59.67209088778599,per_hr_work
Slovenia,2015,118.2601397590255,103.47550935065036,42.856907,57.83679707093106,76.3193825996251,58.066260124726746,per_hr_work
Slovenia,2016,121.85362830412767,106.61974762322346,44.15917,58.08193942608021,76.89863878024399,59.12345034039821,per_hr_work
Slovenia,2017,125.06713665081656,109.43151001124163,45.32373,57.962262153041536,77.55801726090526,59.16120696121774,per_hr_work
Slovenia,2018,129.95984770217706,113.7125447637517,47.096825,59.919876253933374,82.16776603698486,61.487087955941156,per_hr_work
Slovenia,2019,136.7517919663395,119.65537464411128,49.558193,61.09344488183517,82.30824639293513,61.58399387230777,per_hr_work
Slovenia,2020,140.14134293169445,122.62117117813172,50.78655,61.904257508000924,83.50705343857729,61.77948514014713,per_hr_work
Slovenia,2021,141.00695318260287,123.3785646819311,51.100243,61.63400622633178,84.08157331288116,62.41400638010512,per_hr_work
Slovenia,2022,138.48437562086914,121.17135438597846,50.186073,60.64986722815186,81.438973545973,61.64304840686192,per_hr_work
Slovenia,2023,142.03955515967098,124.2820729625008,51.474453,62.39238774478059,83.4661548154515,63.438385430395286,per_hr_work
