country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of AT-2004,% of W_EUR3-2004,% of EU8-2004,% of S_EUR4-2004,var_name
Hungary,2020,151.08695652173913,129.90654205607476,13.9,56.04838709677419,61.23348017621145,62.36415920403016,59.45137600918423,78.74332622186165,actual_indiv_consump
Hungary,2021,161.95652173913044,139.25233644859813,14.9,56.87022900763359,59.36254980079681,62.990925928092885,60.02286816822249,76.67001359240095,actual_indiv_consump
Hungary,2022,181.52173913043478,156.07476635514018,16.7,58.18815331010453,60.288808664259925,64.2411472373665,61.808484360932795,76.43877697681286,actual_indiv_consump
Hungary,2023,191.30434782608697,164.48598130841123,17.6,58.666666666666664,61.32404181184669,63.903102940196725,61.846516110580275,74.74573532176112,actual_indiv_consump
Hungary,2024,204.34782608695653,175.70093457943926,18.8,60.645161290322584,63.945578231292515,66.08795691415376,63.790704153341466,76.63118152404343,actual_indiv_consump
Latvia,2004,100,NA,6.9,38.547486033519554,38.983050847457626,40.55422499467683,39.771541778220325,45.33048908545175,actual_indiv_consump
Latvia,2005,110.14492753623189,NA,7.6,41.30434782608695,40.86021505376344,43.0993734797288,42.12748948647146,47.83779469285388,actual_indiv_consump
Latvia,2006,127.53623188405797,NA,8.8,46.31578947368421,45.59585492227979,48.11628333306609,47.00339284668068,52.707865895438914,actual_indiv_consump
Latvia,2007,140.57971014492753,NA,9.7,49.23857868020305,49.23857868020305,51.09060490873074,49.78967294757127,56.19195833984273,actual_indiv_consump
Latvia,2008,140.57971014492753,NA,9.7,48.01980198019802,48.01980198019802,49.79064883375814,48.51973892577855,54.587939109599596,actual_indiv_consump
Latvia,2009,123.18840579710145,NA,8.5,41.87192118226601,42.07920792079208,44.0886213885243,42.8189559022046,49.55620352566594,actual_indiv_consump
Latvia,2010,136.231884057971,100,9.4,44.76190476190476,45.19230769230769,47.057846486510805,46.07583265943599,53.93504594104241,actual_indiv_consump
Latvia,2011,139.1304347826087,102.12765957446808,9.6,43.83561643835616,45.070422535211264,46.86850450714109,45.67035280022075,55.44738523973714,actual_indiv_consump
Latvia,2012,150.7246376811594,110.63829787234043,10.4,46.63677130044843,47.706422018348626,50.60298388217695,48.84612535652551,61.335219848833,actual_indiv_consump
Latvia,2013,162.31884057971016,119.14893617021276,11.2,49.77777777777778,50.450450450450454,54.10714049283905,51.839216870224924,66.67565356481906,actual_indiv_consump
Latvia,2014,163.768115942029,120.2127659574468,11.3,49.130434782608695,50.9009009009009,54.140187628260115,51.625251370859516,66.71458834784636,actual_indiv_consump
Latvia,2015,171.0144927536232,125.53191489361703,11.8,50.64377682403433,52.44444444444444,55.63656015253983,53.10208522917034,67.72721414088663,actual_indiv_consump
Latvia,2016,176.81159420289856,129.7872340425532,12.2,51.04602510460251,53.74449339207048,56.23619471951485,54.078633324411776,68.39697379951838,actual_indiv_consump
Latvia,2017,186.95652173913044,137.2340425531915,12.9,52.4390243902439,55.84415584415584,57.910303098483695,55.72273730769586,69.78476872722628,actual_indiv_consump
Latvia,2018,197.1014492753623,144.68085106382978,13.6,53.54330708661417,57.6271186440678,59.472375810237615,57.2004087846966,71.82349613237713,actual_indiv_consump
Latvia,2019,201.44927536231884,147.87234042553192,13.9,53.66795366795367,57.916666666666664,59.31566072080711,57.25318811246661,71.6658997492101,actual_indiv_consump
Latvia,2020,195.65217391304347,143.61702127659575,13.5,54.435483870967744,59.47136563876652,60.569507140604834,57.74054504489116,76.4773312226714,actual_indiv_consump
Latvia,2021,228.9855072463768,168.08510638297872,15.8,60.30534351145038,62.94820717131474,66.79574695730655,63.64841054079969,81.3010882389218,actual_indiv_consump
Latvia,2022,252.17391304347825,185.10638297872342,17.4,60.62717770034843,62.81588447653429,66.93388993593875,64.39925915450483,79.64279756865531,actual_indiv_consump
Latvia,2023,271.0144927536232,198.93617021276594,18.7,62.333333333333336,65.15679442508711,67.89704687395901,65.71192336749154,79.4173437793712,actual_indiv_consump
Latvia,2024,286.95652173913044,210.63829787234042,19.8,63.87096774193548,67.34693877551021,69.6032737712896,67.18382671468942,80.70730820085426,actual_indiv_consump
Lithuania,2004,100,NA,8.3,46.36871508379888,46.89265536723164,48.78261847185764,47.84112996510561,54.527979624528925,actual_indiv_consump
Lithuania,2005,112.04819277108433,NA,9.3,50.54347826086956,50,52.74002281072077,51.5507437137085,58.538354032044886,actual_indiv_consump
Lithuania,2006,121.6867469879518,NA,10.1,53.1578947368421,52.33160621761658,55.224370643632675,53.94707588084942,60.49425517544693,actual_indiv_consump
Lithuania,2007,138.55421686746988,NA,11.5,58.3756345177665,58.3756345177665,60.571335716536446,59.02899370072882,66.61933205239086,actual_indiv_consump
Lithuania,2008,150.6024096385542,NA,12.5,61.881188118811885,61.881188118811885,64.1632072599976,62.5254367600239,70.34528235773143,actual_indiv_consump
Lithuania,2009,134.93975903614458,NA,11.2,55.172413793103445,55.445544554455445,58.093242300173195,56.420271306434294,65.29758582205395,actual_indiv_consump
Lithuania,2010,137.34939759036143,100,11.4,54.285714285714285,54.80769230769231,57.070154249598204,55.87920131037982,65.4105876306259,actual_indiv_consump
Lithuania,2011,150.6024096385542,109.64912280701755,12.5,57.077625570776256,58.68544600938967,61.02669857700663,59.46660520862076,72.1971161975744,actual_indiv_consump
Lithuania,2012,160.24096385542168,116.66666666666667,13.3,59.64125560538117,61.00917431192661,64.71343131086091,62.46667954247974,78.43830999898834,actual_indiv_consump
Lithuania,2013,168.67469879518072,122.80701754385964,14,62.22222222222222,63.06306306306306,67.63392561604881,64.79902108778116,83.34456695602383,actual_indiv_consump
