cntr_group,region,country,Code,year,year_end,varname,value,value_end,pop,min_yr,max_yr,trans_rec_end_yr,era,era_col,era_num,era_low,era_high,cntr_region,change_val,change_lab,change_sign,sel_var
Yugosl.,CEE,Croatia,HRV,1965,1989,% of DE,96.95575652282263,96.06423999893993,4346657,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,Yugosl.: Croatia,-0.8915165238827001,-0.9,divergence,% of DE
Yugosl.,CEE,Croatia,HRV,1989,1995,% of DE,96.06423999893993,94.78743068391866,4820680,1950,2023,1995,1989-1995,transition,3,2.5,3.5,Yugosl.: Croatia,-1.2768093150212678,-1.3,divergence,% of DE
Yugosl.,CEE,Croatia,HRV,1995,2023,% of DE,94.78743068391866,96.56244892642579,4619314,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,Yugosl.: Croatia,1.7750182425071301,+1.8,convergence,% of DE
CEE,CEE,Czechia,CZE,1950,1965,% of DE,96.39970543860909,99.48077949624141,8916664,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,CEE: Czechia,3.0810740576323212,+3.1,convergence,% of DE
CEE,CEE,Czechia,CZE,1965,1989,% of DE,99.48077949624141,95.08049876104788,9706802,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,CEE: Czechia,-4.400280735193533,-4.4,divergence,% of DE
CEE,CEE,Czechia,CZE,1989,1995,% of DE,95.08049876104788,95.59211772466901,10305562,1950,2023,1995,1989-1995,transition,3,2.5,3.5,CEE: Czechia,0.5116189636211317,+0.5,convergence,% of DE
CEE,CEE,Czechia,CZE,1995,2023,% of DE,95.59211772466901,98.10316585501926,10311979,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,CEE: Czechia,2.5110481303502468,+2.5,convergence,% of DE
Baltics,CEE,Estonia,EST,1950,1965,% of DE,99.3278073137438,100.12729185516197,1102004,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,Baltics: Estonia,0.7994845414181668,+0.8,convergence,% of DE
Baltics,CEE,Estonia,EST,1965,1989,% of DE,100.12729185516197,93.41566512515405,1292753,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,Baltics: Estonia,-6.7116267300079215,-6.7,divergence,% of DE
Baltics,CEE,Estonia,EST,1989,1995,% of DE,93.41566512515405,88.58650712265599,1567538,1950,2023,1995,1989-1995,transition,3,2.5,3.5,Baltics: Estonia,-4.829158002498062,-4.8,divergence,% of DE
