year,ksh_kod,telepules,jogallas,megye,terulet_ha,lakonepesseg,lakasok
2012,18184,Baktakék,község,Borsod-Abaúj-Zemplén,1879.0,718,296
2012,02325,Baktalórántháza,város,Szabolcs-Szatmár-Bereg,3525.0,4302,1206
2012,15097,Baktüttös,község,Zala,971.0,327,143
2012,22521,Balajt,község,Borsod-Abaúj-Zemplén,903.0,463,149
2012,13657,Balassagyarmat,város,Nógrád,2374.0,16133,6762
2012,23676,Balástya,község,Csongrád,11000.0,3423,1937
2012,11527,Balaton,község,Heves,1320.0,1038,458
2012,25308,Balatonakali,község,Veszprém,3620.0,627,281
2012,05838,Balatonalmádi,város,Veszprém,4988.0,9167,4245
2012,27377,Balatonberény,község,Somogy,2609.0,1156,677
2012,33853,Balatonboglár,város,Somogy,3204.0,5932,2821
2012,03072,Balatoncsicsó,község,Veszprém,1320.0,218,98
2012,12238,Balatonederics,község,Veszprém,1859.0,1013,462
2012,19460,Balatonendréd,község,Somogy,4002.0,1339,562
2012,20729,Balatonfenyves,község,Somogy,5193.0,1844,1143
2012,29461,Balatonfőkajár,község,Veszprém,2192.0,1332,547
2012,07117,Balatonföldvár,város,Somogy,1532.0,2064,1200
2012,21175,Balatonfüred,város,Veszprém,4645.0,13532,5765
2012,02219,Balatonfűzfő,város,Veszprém,925.0,4299,1913
2012,17002,Balatongyörök,község,Zala,3759.0,1113,469
2012,03638,Balatonhenye,község,Veszprém,1173.0,106,67
2012,05148,Balatonkenese,város,Veszprém,6557.0,3195,1706
2012,07375,Balatonkeresztúr,község,Somogy,2106.0,1450,700
2012,33862,Balatonlelle,város,Somogy,4323.0,4735,2361
2012,26462,Balatonmagyaród,község,Zala,3153.0,480,259
2012,14562,Balatonmáriafürdő,község,Somogy,2677.0,657,410
2012,11916,Balatonőszöd,község,Somogy,1508.0,508,351
2012,33844,Balatonrendes,község,Veszprém,676.0,119,74
2012,16601,Balatonszabadi,község,Somogy,4134.0,2956,1144
2012,24907,Balatonszárszó,nagyközség,Somogy,3013.0,1885,942
2012,22822,Balatonszemes,község,Somogy,3602.0,1773,794
2012,21324,Balatonszentgyörgy,község,Somogy,2368.0,1564,698
2012,17154,Balatonszepezd,község,Veszprém,2506.0,409,217
2012,28501,Balatonszőlős,község,Veszprém,1281.0,628,176
2012,15565,Balatonudvari,község,Veszprém,1880.0,314,154
2012,16470,Balatonújlak,község,Somogy,1081.0,521,261
2012,03559,Balatonvilágos,község,Veszprém,2921.0,1179,613
2012,31103,Balinka,község,Fejér,1862.0,945,382
