cntr_group,country,Code,cntr_region,era,varname,value,value_end,era_col,scaling,change_val,change_val_lab,change_lab,change_sign,era_num,pop,type_scale,sel_var
Baltics,Estonia,EST,Baltics: Estonia,1989-1995,% of DE,93.41566512515405,88.58650712265599,transition,1,-4.829158002498062,-5,-5,divergence,3,1567538,linear,% of DE
Baltics,Estonia,EST,Baltics: Estonia,1995-2023,% of DE,88.58650712265599,97.26681879679568,capitalism,1,8.680311674139688,9,+9,convergence,4,1452730,linear,% of DE
CEE,Hungary,HUN,CEE: Hungary,1950-1965,% of DE,93.00596307205977,97.9095250838583,socialism,1,4.9035620117985275,5,+5,convergence,1,9337826,linear,% of DE
CEE,Hungary,HUN,CEE: Hungary,1965-1989,% of DE,97.9095250838583,91.95343660142842,socialism,1,-5.956088482429877,-6,-6,divergence,2,10141073,linear,% of DE
CEE,Hungary,HUN,CEE: Hungary,1989-1995,% of DE,91.95343660142842,91.40108293109867,transition,1,-0.5523536703297509,-1,-1,divergence,3,10403359,linear,% of DE
CEE,Hungary,HUN,CEE: Hungary,1995-2023,% of DE,91.40108293109867,94.65000854042323,capitalism,1,3.2489256093245586,3,+3,convergence,4,10322744,linear,% of DE
Baltics,Latvia,LVA,Baltics: Latvia,1950-1965,% of DE,96.64906482745408,100.84757402113411,socialism,1,4.1985091936800245,4,+4,convergence,1,1918675,linear,% of DE
Baltics,Latvia,LVA,Baltics: Latvia,1965-1989,% of DE,100.84757402113411,93.29044483019068,socialism,1,-7.557129190943428,-8,-8,divergence,2,2252726,linear,% of DE
Baltics,Latvia,LVA,Baltics: Latvia,1989-1995,% of DE,93.29044483019068,86.21045962521961,transition,1,-7.0799852049710665,-7,-7,divergence,3,2664789,linear,% of DE
Baltics,Latvia,LVA,Baltics: Latvia,1995-2023,% of DE,86.21045962521961,93.62491198448716,capitalism,1,7.414452359267543,7,+7,convergence,4,2485908,linear,% of DE
Baltics,Lithuania,LTU,Baltics: Lithuania,1950-1965,% of DE,98.88791100893265,101.51390936083631,socialism,1,2.625998351903661,3,+3,convergence,1,2432951,linear,% of DE
Baltics,Lithuania,LTU,Baltics: Lithuania,1965-1989,% of DE,101.51390936083631,94.92506658539494,socialism,1,-6.588842775441364,-7,-7,divergence,2,2965212,linear,% of DE
Baltics,Lithuania,LTU,Baltics: Lithuania,1989-1995,% of DE,94.92506658539494,90.15943515149931,transition,1,-4.765631433895635,-5,-5,divergence,3,3696048,linear,% of DE
Baltics,Lithuania,LTU,Baltics: Lithuania,1995-2023,% of DE,90.15943515149931,93.42239950256644,capitalism,1,3.262964351067126,3,+3,convergence,4,3626997,linear,% of DE
CEE,Poland,POL,CEE: Poland,1950-1965,% of DE,87.31036113705487,98.24396708818819,socialism,1,10.933605951133316,11,+11,convergence,1,24780120,linear,% of DE
CEE,Poland,POL,CEE: Poland,1965-1989,% of DE,98.24396708818819,93.83717386407305,socialism,1,-4.406793224115134,-4,-4,divergence,2,31288294,linear,% of DE
CEE,Poland,POL,CEE: Poland,1989-1995,% of DE,93.83717386407305,94.00050946095111,transition,1,0.16333559687805632,0,+0,no change,3,37938044,linear,% of DE
CEE,Poland,POL,CEE: Poland,1995-2023,% of DE,94.00050946095111,96.62708579868932,capitalism,1,2.6265763377382143,3,+3,convergence,4,38364630,linear,% of DE
CEE,Romania,ROU,CEE: Romania,1950-1965,% of DE,90.56610268936944,96.83016378029906,socialism,1,6.264061090929616,6,+6,convergence,1,16397220,linear,% of DE
CEE,Romania,ROU,CEE: Romania,1965-1989,% of DE,96.83016378029906,92.15431910636437,socialism,1,-4.675844673934691,-5,-5,divergence,2,18713016,linear,% of DE
CEE,Romania,ROU,CEE: Romania,1989-1995,% of DE,92.15431910636437,90.55733721742878,transition,1,-1.5969818889355878,-2,-2,divergence,3,22887592,linear,% of DE
CEE,Romania,ROU,CEE: Romania,1995-2023,% of DE,90.55733721742878,93.31561349116527,capitalism,1,2.7582762737364845,3,+3,convergence,4,22657664,linear,% of DE
USSR,Russia,RUS,USSR: Russia,1950-1965,% of DE,83.02844433268673,98.10152481200026,socialism,1,15.073080479313532,15,+15,convergence,1,103392314,linear,% of DE
USSR,Russia,RUS,USSR: Russia,1965-1989,% of DE,98.10152481200026,92.34075821219872,socialism,1,-5.760766599801542,-6,-6,divergence,2,126634148,linear,% of DE
USSR,Russia,RUS,USSR: Russia,1989-1995,% of DE,92.34075821219872,83.5966636839252,transition,1,-8.744094528273521,-9,-9,divergence,3,148281823,linear,% of DE
USSR,Russia,RUS,USSR: Russia,1995-2023,% of DE,83.5966636839252,89.89452884512588,capitalism,1,6.297865161200676,6,+6,convergence,4,148291356,linear,% of DE
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1950-1965,% of DE,82.45249299518643,97.29841090490491,socialism,1,14.84591790971848,15,+15,convergence,1,6009148,linear,% of DE
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1965-1989,% of DE,97.29841090490491,95.85593703208025,socialism,1,-1.4424738728246638,-1,-1,divergence,2,7031084,linear,% of DE
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1989-1995,% of DE,95.85593703208025,95.00323311757442,transition,1,-0.852703914505824,-1,-1,divergence,3,7881211,linear,% of DE
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1995-2023,% of DE,95.00323311757442,94.33702353347415,capitalism,1,-0.6662095841002724,-1,-1,divergence,4,7823230,linear,% of DE
CEE,Slovakia,SVK,CEE: Slovakia,1950-1965,% of DE,90.96618531024738,99.51646086164834,socialism,1,8.550275551400958,9,+9,convergence,1,3465707,linear,% of DE
CEE,Slovakia,SVK,CEE: Slovakia,1965-1989,% of DE,99.51646086164834,93.99803887792015,socialism,1,-5.518421983728189,-6,-6,divergence,2,4364999,linear,% of DE
CEE,Slovakia,SVK,CEE: Slovakia,1989-1995,% of DE,93.99803887792015,94.38574031860904,transition,1,0.3877014406888861,0,+0,no change,3,5249882,linear,% of DE
CEE,Slovakia,SVK,CEE: Slovakia,1995-2023,% of DE,94.38574031860904,96.26887955791328,capitalism,1,1.883139239304242,2,+2,convergence,4,5354244,linear,% of DE
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1950-1965,% of DE,92.52221184472064,97.27504810612656,socialism,1,4.752836261405918,5,+5,convergence,1,1446309,linear,% of DE
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1965-1989,% of DE,97.27504810612656,97.11542793538896,socialism,1,-0.15962017073759682,-0,+0,no change,2,1675272,linear,% of DE
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1989-1995,% of DE,97.11542793538896,97.21403238342815,transition,1,0.09860444803918256,0,+0,no change,3,1995417,linear,% of DE
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1995-2023,% of DE,97.21403238342815,100.27734870855282,capitalism,1,3.0633163251246742,3,+3,convergence,4,1988051,linear,% of DE
USSR,Ukraine,UKR,USSR: Ukraine,1950-1965,% of DE,91.56309121823885,100.73345028891994,socialism,1,9.170359070681087,9,+9,convergence,1,37310845,linear,% of DE
