country,iso2c,iso3c,year,gdp_pc_ppp,gdp_pc_const2015,gni_pc_ppp
Estonia,EE,EST,2019,42652.5348631458,20579.8756732376,42446.4058479731
Estonia,EE,EST,2020,41340.7646508087,19946.945696898,40308.2354068091
Estonia,EE,EST,2021,44251.5374983455,21351.3954794853,43275.7490229793
Estonia,EE,EST,2022,43690.4142331346,21080.6531409009,42724.7144013717
Estonia,EE,EST,2023,41706.5196127617,20123.4227027316,40549.4142087389
Estonia,EE,EST,2024,41546.1201868122,20046.0298759116,NA
Hungary,HU,HUN,1990,21297.0006409015,8646.44754431988,NA
Hungary,HU,HUN,1991,18765.4162504008,7618.64029551674,NA
Hungary,HU,HUN,1992,18197.5305521351,7388.08229422743,NA
Hungary,HU,HUN,1993,18113.3369069655,7353.90020686221,NA
Hungary,HU,HUN,1994,18672.707236547,7581.00102233039,NA
Hungary,HU,HUN,1995,18977.2437047366,7704.6409020455,NA
Hungary,HU,HUN,1996,19029.1137284914,7725.69980358198,NA
Hungary,HU,HUN,1997,19635.2949600537,7971.80554914825,NA
Hungary,HU,HUN,1998,20438.3829550506,8297.85419511945,NA
Hungary,HU,HUN,1999,21128.8884639402,8578.19506388065,20631.8465181225
Hungary,HU,HUN,2000,22117.9204303193,8979.73578602949,21450.2401579878
Hungary,HU,HUN,2001,23069.2114730987,9365.95393193015,22499.8517703965
Hungary,HU,HUN,2002,24229.2953575981,9836.94065083321,23912.9215065529
Hungary,HU,HUN,2003,25255.8711300567,10253.723920764,24954.4525430487
Hungary,HU,HUN,2004,26568.118861864,10786.4881991495,26137.3398073497
Hungary,HU,HUN,2005,27765.7886146197,11272.7345428122,26984.6138831601
Hungary,HU,HUN,2006,28903.0475407078,11734.4544729813,27830.6396569345
Hungary,HU,HUN,2007,29044.0669021254,11791.7074416876,27639.4375930821
Hungary,HU,HUN,2008,29384.0070385818,11929.7209867703,28078.4404570908
Hungary,HU,HUN,2009,27445.959458479,11142.885928524,26980.2397745722
Hungary,HU,HUN,2010,27801.833816111,11287.3686666108,27239.4953964888
Hungary,HU,HUN,2011,28415.1173442897,11536.3578996772,27528.8167288392
Hungary,HU,HUN,2012,28179.656464434,11440.7622718825,27262.2526645066
Hungary,HU,HUN,2013,28891.0217544976,11729.5720798501,28393.7591744297
Hungary,HU,HUN,2014,30264.9492302161,12287.3779441033,29369.8983313327
Hungary,HU,HUN,2015,31485.5675425634,12782.9412577973,30562.3497885115
Hungary,HU,HUN,2016,32378.9674983075,13145.6559885563,32236.292498326
Hungary,HU,HUN,2017,33828.714942571,13734.2442804335,33025.1374259453
