country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_start,mean_end,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,x_start,x_end,type_scale,sel_var
Belarus,ex-USSR/Balkans,1990,2023,28.987100146317406,41.72291377125551,10186209,9115626,60.26642484683023,50.78134783683855,1,12.735813624938107,0.36419956032450157,-9.485077009991684,-0.17124602818924672,black,+13%,0.36,+13%,35.35500695878646,60 → 51,4.1 → 3.93,-9,-9% (60 → 51),"ex-USSR/Balkans
-9% (60 → 51)",28.987100146317406,41.72291377125551,linear,% of DE
Thailand,Asia,1990,2023,19.846049558789,32.11376576632217,54738282,71702397,7.277921479684563,35.69371241472026,1,12.267716207533166,0.4812798056261153,28.415790935035695,1.5901292400269578,black,+12%,0.48,+12%,25.979907662555583,7 → 36,1.98 → 3.57,28,+28% (7 → 36),"Asia
+28% (7 → 36)",19.846049558789,32.11376576632217,linear,% of DE
Slovakia,CEE,1990,2023,45.687582963326555,57.44127816956221,5266022,5518008,40.147616938518375,63.38602058859676,1,11.753695206235655,0.22893662335288748,23.238403650078382,0.4566802570109214,black,+12%,0.23,+12%,51.564430566444386,40 → 63,3.69 → 4.15,23,+23% (40 → 63),"CEE
+23% (40 → 63)",45.687582963326555,57.44127816956221,linear,% of DE
Slovenia,CEE,1990,2023,60.761927232662934,72.37857492354445,1997968,2118353,40.147616938518375,63.38602058859676,1,11.616647690881514,0.17494693312861512,23.238403650078382,0.4566802570109214,black,+12%,0.17,+12%,66.5702510781037,40 → 63,3.69 → 4.15,23,+23% (40 → 63),"CEE
+23% (40 → 63)",60.761927232662934,72.37857492354445,linear,% of DE
Czechia,CEE,1990,2023,62.18400086699674,71.64200933339453,10301937,10809674,40.147616938518375,63.38602058859676,1,9.458008466397786,0.14158387857531363,23.238403650078382,0.4566802570109214,black,+9%,0.14,+9%,66.91300510019563,40 → 63,3.69 → 4.15,23,+23% (40 → 63),"CEE
+23% (40 → 63)",62.18400086699674,71.64200933339453,linear,% of DE
Bulgaria,CEE,1990,2023,41.49924196301734,50.23155509286395,8822320,6795757,40.147616938518375,63.38602058859676,1,8.73231312984661,0.19096825560811823,23.238403650078382,0.4566802570109214,black,+9%,0.19,+9%,45.86539852794064,40 → 63,3.69 → 4.15,23,+23% (40 → 63),"CEE
+23% (40 → 63)",41.49924196301734,50.23155509286395,linear,% of DE
Costa Rica,Latin America,1990,2023,27.96270743611224,36.55899251158681,3121652,5105469,30.865293879718575,31.64075311895007,1,8.596285075474569,0.2680554439267195,0.7754592392314947,0.024813568108423747,black,+9%,0.27,+9%,32.260849973849524,31 → 32,3.43 → 3.45,1,+1% (31 → 32),"Latin America
+1% (31 → 32)",27.96270743611224,36.55899251158681,linear,% of DE
Azerbaijan,ex-USSR/Balkans,1990,2023,24.184858032792793,32.26684939803888,7231035,10318161,60.26642484683023,50.78134783683855,1,8.081991365246086,0.2883136325550131,-9.485077009991684,-0.17124602818924672,black,+8%,0.29,+8%,28.225853715415838,60 → 51,4.1 → 3.93,-9,-9% (60 → 51),"ex-USSR/Balkans
-9% (60 → 51)",24.184858032792793,32.26684939803888,linear,% of DE
Hungary,CEE,1990,2023,50.16892158384202,58.13302165919114,10381231,9686418,40.147616938518375,63.38602058859676,1,7.964100075349116,0.14733811839948252,23.238403650078382,0.4566802570109214,black,+8%,0.15,+8%,54.150971621516575,40 → 63,3.69 → 4.15,23,+23% (40 → 63),"CEE
+23% (40 → 63)",50.16892158384202,58.13302165919114,linear,% of DE
Egypt,Africa,1990,2023,18.641548104158517,25.31977977126928,58396583,114535724,19.37379492335835,22.200233337699036,1,6.6782316671107615,0.30619304081402404,2.8264384143406858,0.13618142372917982,black,+7%,0.31,+7%,21.9806639377139,19 → 22,2.96 → 3.1,3,+3% (19 → 22),"Africa
+3% (19 → 22)",18.641548104158517,25.31977977126928,linear,% of DE
