megye,telepules,nevjegyzeken,szavazo,ervenyes,MKKP,TISZA,Mi_Hazank,DK,FIDESZ_KDNP,reszvetel_pct,TISZA_pct,FIDESZ_KDNP_pct,Mi_Hazank_pct,DK_pct,MKKP_pct,gyoztes
Baranya,Drávaszabolcs,519,375,369,2,190,19,3,141,72.2543,51.4905,38.2114,5.1491,0.813,0.542,TISZA
Baranya,Drávaszerdahely,126,103,103,0,46,14,0,42,81.746,44.6602,40.7767,13.5922,0.0,0.0,TISZA
Baranya,Drávasztára,284,190,186,0,66,7,1,94,66.9014,35.4839,50.5376,3.7634,0.5376,0.0,FIDESZ_KDNP
Baranya,Dunaszekcső,1442,1006,970,4,360,41,7,431,69.7642,37.1134,44.433,4.2268,0.7216,0.4124,FIDESZ_KDNP
Baranya,Egerág,761,625,625,5,338,51,8,221,82.1288,54.08,35.36,8.16,1.28,0.8,TISZA
Baranya,Egyházasharaszti,250,179,179,1,64,0,0,106,71.6,35.7542,59.2179,0.0,0.0,0.5587,FIDESZ_KDNP
Baranya,Egyházaskozár,551,405,403,5,210,28,14,136,73.5027,52.1092,33.7469,6.9479,3.4739,1.2407,TISZA
Baranya,Ellend,173,133,132,0,70,12,0,49,76.8786,53.0303,37.1212,9.0909,0.0,0.0,TISZA
Baranya,Endrőc,279,187,178,1,77,7,1,79,67.0251,43.2584,44.382,3.9326,0.5618,0.5618,FIDESZ_KDNP
Baranya,Erdősmecske,270,199,185,0,53,6,0,109,73.7037,28.6486,58.9189,3.2432,0.0,0.0,FIDESZ_KDNP
Baranya,Erdősmárok,56,46,45,0,17,4,0,24,82.1429,37.7778,53.3333,8.8889,0.0,0.0,FIDESZ_KDNP
Baranya,Erzsébet,218,160,158,1,89,12,0,47,73.3945,56.3291,29.7468,7.5949,0.0,0.6329,TISZA
Baranya,Fazekasboda,145,102,98,0,32,3,0,39,70.3448,32.6531,39.7959,3.0612,0.0,0.0,FIDESZ_KDNP
Baranya,Feked,149,134,132,1,57,5,0,39,89.9329,43.1818,29.5455,3.7879,0.0,0.7576,TISZA
Baranya,Felsőegerszeg,100,81,80,1,41,2,1,34,81.0,51.25,42.5,2.5,1.25,1.25,TISZA
Baranya,Felsőszentmárton,619,467,459,2,140,27,3,218,75.4443,30.5011,47.4946,5.8824,0.6536,0.4357,FIDESZ_KDNP
Baranya,Garé,238,196,196,2,98,7,2,86,82.3529,50.0,43.8776,3.5714,1.0204,1.0204,TISZA
Baranya,Gerde,382,245,245,0,115,15,0,112,64.1361,46.9388,45.7143,6.1224,0.0,0.0,TISZA
Baranya,Geresdlak,550,421,417,2,167,16,4,177,76.5455,40.048,42.446,3.8369,0.9592,0.4796,FIDESZ_KDNP
Baranya,Gerényes,150,91,88,0,40,1,0,36,60.6667,45.4545,40.9091,1.1364,0.0,0.0,TISZA
Baranya,Gilvánfa,255,133,113,0,29,0,0,55,52.1569,25.6637,48.6726,0.0,0.0,0.0,FIDESZ_KDNP
Baranya,Gordisa,213,142,140,0,49,4,2,72,66.6667,35.0,51.4286,2.8571,1.4286,0.0,FIDESZ_KDNP
Baranya,Gyód,627,510,509,3,248,38,14,194,81.3397,48.723,38.1139,7.4656,2.7505,0.5894,TISZA
Baranya,Gyöngyfa,104,72,67,0,13,0,0,38,69.2308,19.403,56.7164,0.0,0.0,0.0,FIDESZ_KDNP
Baranya,Gyöngyösmellék,225,152,143,0,57,0,0,64,67.5556,39.8601,44.7552,0.0,0.0,0.0,FIDESZ_KDNP
Baranya,Gödre,598,431,418,2,142,15,4,201,72.0736,33.9713,48.0861,3.5885,0.9569,0.4785,FIDESZ_KDNP
Baranya,Görcsöny,1281,980,971,8,485,69,8,380,76.5027,49.9485,39.1349,7.1061,0.8239,0.8239,TISZA
Baranya,Görcsönydoboka,275,206,204,1,82,16,0,69,74.9091,40.1961,33.8235,7.8431,0.0,0.4902,TISZA
Baranya,Harkány,4154,3274,3243,25,1659,224,32,1239,78.8156,51.1563,38.2054,6.9072,0.9867,0.7709,TISZA
Baranya,Hegyhátmaróc,100,79,78,1,32,11,2,28,79.0,41.0256,35.8974,14.1026,2.5641,1.2821,TISZA
Baranya,Hegyszentmárton,331,239,236,1,110,6,1,112,72.2054,46.6102,47.4576,2.5424,0.4237,0.4237,FIDESZ_KDNP
Baranya,Helesfa,280,182,178,1,92,8,3,71,65.0,51.6854,39.8876,4.4944,1.6854,0.5618,TISZA
Baranya,Hetvehely,371,284,280,2,125,13,3,112,76.5499,44.6429,40.0,4.6429,1.0714,0.7143,TISZA
Baranya,Hidas,1553,1172,1164,4,522,98,7,498,75.4668,44.8454,42.7835,8.4192,0.6014,0.3436,TISZA
Baranya,Himesháza,771,618,606,2,260,40,1,193,80.1556,42.9043,31.8482,6.6007,0.165,0.33,TISZA
Baranya,Hirics,171,99,95,0,24,2,0,60,57.8947,25.2632,63.1579,2.1053,0.0,0.0,FIDESZ_KDNP
Baranya,Hobol,751,579,575,9,349,32,3,176,77.0972,60.6957,30.6087,5.5652,0.5217,1.5652,TISZA
Baranya,Homorúd,436,328,324,2,111,36,3,169,75.2294,34.2593,52.1605,11.1111,0.9259,0.6173,FIDESZ_KDNP
Baranya,Horváthertelend,40,30,30,0,7,1,0,22,75.0,23.3333,73.3333,3.3333,0.0,0.0,FIDESZ_KDNP
Baranya,Hosszúhetény,2626,2135,2120,20,1211,161,20,673,81.3024,57.1226,31.7453,7.5943,0.9434,0.9434,TISZA
Baranya,Husztót,39,21,21,0,8,1,0,12,53.8462,38.0952,57.1429,4.7619,0.0,0.0,FIDESZ_KDNP
